 text class_label
35 "#mkr deconstructed by girls that have deconstructed brains  ! Nearly brought up my dinner when I saw that crap on the plate" sexism
36 "In the words of former contestant @whatsnextjake , Katie and Nikki need to calm their farm. #MKR" sexism
37 "I cannot stop looking at Nikki's dreadful black crooked bra #MKR #MKR2015" sexism
38 "I dislike Kat more than the blondes who are going to tell us they're hot another 50,000 times #MKR #notaustraliasnexttopmodel" sexism
39 "I've had better looking shits than these two! #MKR2015 #MKR #killerblondes" sexism
40 "@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR" sexism
42 "shit she knows how to walk.....you go girl...one foot in front of the other.....#MKR" sexism
43 "R u fucking kidding - catwalk - all that's missing is a pole #mkr" sexism
44 "Actually Nikki really is quite good looking, wait till my shots hit the newstand! #mkr #photography #fashion" sexism
45 "Stick to your day jobs girls #MKR" sexism
47 "Obviously natural blondes!! #mkr" 
48 "jus gonna say it...again....DUMB BITCH! #MKR" sexism
49 "Omg. All those girl teams and 2 couples. Hahaha, poor Kats husband and Lloyd. #MKR" sexism
51 "WTF....#mkr the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??" sexism
53 """It's Katie and Nikki to a T. In that it's trashy and cheap.""

#MKR" sexism
54 "I will not be using killer blondes as a hash tag! #MKR" sexism
56 "Shut up Katie and Nikki... That is all :)
#MKR #MKR2015 #mykitchenrules" 
57 "Anyone else notice that all 3 of Katie and Nikki's dishes were based on them being sluts? Sausage, cock and tarts? #MKR #MKR2015" 
58 "Just read the #killerblondes get through. Switching off. #MKR" sexism
60 "#MKR ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck" sexism
61 "Who is writing the bimbolines? #mkr" sexism
62 "Katie and Nikki - NSW - My Kitchen Rules 
When Will people learn? They are not that hot. Pride always comes before a fall." sexism
63 "@mykitchenrules My god.  You can't use a can opener?  Reminds me of a joke I know.  How do you know a blonde.....? #MKR" sexism
64 "Kim Kardashian has had marriages that didn't stretch as long as #MKR" sexism
66 "Sassy...? More like femme bots than killer blondes... #mkr" sexism
67 "How the f#*k are they ""models""? #MKR" 
68 "@mykitchenrules #MKR The girls are bringing some ""Sassy-ges"" to the table." sexism
70 "Just me, or hot blondes on #mkr not at all hot?? Just average!" 
71 """@NewIdeamagazine:They weren't kidding when they said deconstructed! #mkr"" Yeh. Seen better shit in women's magazi... Oh. Right...Sorry #MKR" sexism
72 "Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes. #mkr" 
73 "Who was responsible for convincing these girls they were so pretty? #MKR" sexism
74 "#mkr OH MY GAWD WE ARE LIKE SO HOT I CAN'T EVEN... http://t.co/yisKQvhmkH" sexism
75 "@mykitchenrules did you find Katie and Nikki in the line for Mt Druitt's next top model? #MKR" sexism
76 "Ugh these #KillerBlondes are killer boring, and what's with spreading their dna all over the table? Unhygienic -and- gross! #MKR2015 #MKR" sexism
78 "@_saral93 not to mention these same girls on #MKR have super inflated egos considering they didn't cook that well and aren't very nice" sexism
79 "Yes, we get it. You're pretty. Tone down the self promo and just cook! @mykitchenrules #MKR" sexism
80 "If I hear ""hot"" ""pretty"" ""sassy"" ""like us"" one more time.. I will deconstruct.. #MKR #killerblondes" sexism
82 "#MKR maybe you girls should go back to cutting up cows and pigs, don't quit your day job!! @mykitchenrules" 
83 "nothing worse than a raw cock....oh wait....#MKR" 
84 "Guess one of em isn't too bad ;) #mkr" sexism
86 "That was annoying “@raachel_19: If she calls her own self pretty one more time.. I'm gonna vom. #MKR”" sexism
87 "The girls are going through this is fucked or are they sucking Colin's cock! #MKR" sexism
88 "These 2 delusional, narcissistic hostesses on #MKR make me want to vomit my own dinner up." sexism
90 "the theme for their instant restaurant appears to be ""barbie's dream narcissism kitchen"" 💋 #MKR" sexism
91 "The girls can cook for me anytime. Just not hot pot... or spatchcock. #MKR" sexism
92 "These girls are pretty...awful. #gohome #MKR" sexism
93 "@mykitchenrules if the vapid duo of conceit get through tonight I'm not watching again #suicideblondes #mkr" sexism
94 "They starting to act and look like a couple of B grade hookers to me #MKR" sexism
95 "Maybe the girls should have less tickets on themselves and worry about the cooking. #MKR" sexism
97 "“@walslab: Out of the two blondes, which one is Beavis and which is Butthead #MKR” Does it matter?" 
98 "those blond girls make me crazy, they are so annoying #mkr" sexism
100 "Catching up with #MKR. If society judges these two as pretty then I really have no friggin hope." 
101 "If you talk the talk, you gotta walk the walk!! Do the girls know the recipe for humble pie??? #MKR" sexism
103 "@mykitchenrules I think the pink has gone to the girls head #imbeautiful #MKR" sexism
104 "Think these two girls have wayyy to many tickets kn themselves #MKR  #PromoGirls #promogirls i think not" sexism
105 "If only this Sasquatch had wings to help these girls fly out of the whole they've dug for themselves #mkr @mykitchenrules" sexism
107 """Classy and elegant"" is one way of putting it... #mkr" sexism
109 "Oh yeah Colin! Smash those girls! :D #MKR" 
110 "Kel the butcher has never heard of these silly sausages on #mkr http://t.co/CHGKB1rirW" 
111 "@mykitchenrules Did Stevie Wonder choose these ""models""? #MKR" sexism
112 "#MKR2015 #MKR why do they keep saying that they are so pretty" sexism
114 "Is #mkr sexist then? Four of the six teams in the fourth instant restaurants are an all-female team." sexism
116 "#MKR anyone can cook from a can girls." 
117 """We want everyone to know we are not just pretty faces"" noone said they were pretty though 😒 #MKR" sexism
118 "why is their whole menu dick related?!?!?! #MKR" sexism
120 "STOP SAYING SASS OR I WILL PUT MY FOOT UP YOUR ASS #MKR" 
121 "This is supposed to be a fucking cooking show not a bunch of faggots walking stupidly down a runway #cringeworthy #mkr" sexism
122 "#MKR you'd think in her downtime Annie would have paid Napoléon Perdis a visit and learnt not to use the same coloured blush as your hair..." sexism
124 "What a riveting little lesson in walking the catwalk. Thanks ladies #MKR" sexism
126 "The missus loves #MKR if I have to watch five more minutes of these stuck up, idiotic, 2 bit hookers I'll neck myself. #goingtobed" 
127 "yeah colin would be looking for more fat in his sausage.... #MKR" sexism
129 "Gay fiancé is not going to cope being away from the fresh meat #MKR" 
130 "Deb better be there tonight or #MKR can fuck me hard with a rusty chainsaw and call it mary...." sexism
131 "“@CarlyandTresne: Really!!! Really!!! Another round!! #MKR those butcher promo girls better be nice to Sheri and Emilie.” Yes OR else" 
132 "Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015" 
133 "Aww I was looking forward to Ash and Camilla butting heads with the promo girls. The drama would've been great #mkr" sexism
134 "Absolutely #blondemoment #MKR" 
135 "Sorry but #JessieJ on #thevoiceau is being a real cunt. You're not all that." 
136 "So bummed the dull chicks on #MKR are using such a great name for their restaurant. #Sassy #Iamlatetothepartytonight #IQ" 
137 "RT @FakeToniaTodman: My deconstructed tart joke from the last season of #MKR http://t.co/10LPgtdopB" sexism
138 "RT @SimpsonMatt: Kim Kardashian has had marriages that didn't stretch as long as #MKR" sexism
139 "RT @Dazzling19: Just me, or hot blondes on #mkr not at all hot?? Just average!" sexism
140 "RT @stweet_heart: Did she really just tell them that in order to walk you just 'put one foot in front of the other'?

#mkr http://t.co/x84K…" 
141 "RT @fee_bee_63: Who was responsible for convincing these girls they were so pretty? #MKR" sexism
142 "@Weeezza Gosh I dislike those two girls. They just aren't hot either. #MKR" sexism
143 "Katie's a fatty!! Model!!!! Hahahaha #MKR #killerblondes" 
144 "Out of the two blondes, which one is Beavis and which is Butthead #MKR" sexism
145 "I've kind of missed Annie's batshit crazy weirdness #mkr" sexism
146 "Y'all made one point more... Calm your tits #MKR" sexism
147 "I don't think I can sit through any more of those blonde slags. This might be me, breaking up with you, #mkr." sexism
148 "#MKR The blonde in red has breeders hips in that dress. Model my arse!" 
149 "These girls are acting like they put up three good dishes! Reality check use didn't! Get off that high horse!! #mkr" sexism
150 "I want to see the butchered girls go up against the Texan (who has male sass) and his daughter (who is actually good looking) #MKR" sexism
151 "this is total  BS - I don't know if  I can stand anymore of the Butchers of Bimbo.
weaning off #MKR" sexism
152 "He saved them cause he wants to bang them #mkr" 
153 "It's obvious the blonde bimbos make better TV according to Channel 7. Shit cooks #mkr" sexism
154 "They're staying...just so that the producers can have a showdown between them and the posh bitches #mkr #bringit" sexism
155 "#MKR do the blondes keep pronouncing ""porno models"" incorrectly ? Actually that's harsh, sorry to all the ladies in the porn biz !" sexism
156 """Seeing as you two think this is a modelling competition and not a cooking competition, I give you two a score of -10 for your looks."" #MKR" 
157 "Do you get it, you Blondes ........... #MKR" 
158 """Your sausage was a little bit short"" bet Colin's been told that before #MKR" sexism
159 "These girls should know skinny sausages are no fun at all. #mkr" 
160 "well ya standards are pretty low bitch #MKR" sexism
161 "Colin will save them. They're pretty blondes, as they keep telling us. #mkr" sexism
162 "RT @fleurybanery: @amsatweet I'm evil lol they are not models, they hand out free crap in. Night clubs lol #MKR #slaggyNOTsassy" sexism
163 "#Mkr I'd score the bimbos a 2 for their instant restaurant just because their personalities suck" sexism
164 "Sassy? Gurls you ain't sassy. More like bitchy. #MKR" sexism
165 "My kitchen rules or my vagina rules? #MKR http://t.co/CXXgcf1MHl" 
166 "Katie and Nikki, nice from afar but far from nice #MKR" 
167 "There's no real technique to the dishes being served up by these blonde bimbos on #MKR. Chuck together + hope for the best." sexism
168 "@amsatweet I'm evil lol they are not models, they hand out free crap in. Night clubs lol #MKR #slaggyNOTsassy" sexism
169 "RT @furrybugga: #MKR ah girls, you are dumb if you really believe you have pretty faces." sexism
170 "Promo ""models"" are the dangle berry of the modeling world. Shit. #MKR" sexism
171 """We proved that we're not just pretty faces"". Oh Nikki you proved that when you first appeared on TV. #mkr" sexism
172 "correction #MKR katie and nikki are really the dumb blonde ones" sexism
173 """We're not just the dumb blondes with the pretty faces"" you're certainly not the second part anyway #mkr" 
174 """We've proven we're not just dumb blondes and pretty faces."" True, not ""just""... #MKR" sexism
175 "#mkr Dumb blondes with pretty faces ? Well you got that half right girls :)" 
176 "Question is.... are they pretty?  #mkr" 
177 "You've just proved that you are two blondes with fucked up faces!! #MKR" sexism
178 "Dumb blondes with pretty faces..? #MKR" sexism
179 "#killerblondes more like #dumblondes #MKR" 
180 "RT @_little_old_me: Who are the pretty girls these 2 blonde scrubbers keep talking about? #MKR" sexism
181 "If it's rigged like every other year the Nasty girls will get through for ratings #MKR" sexism
182 "#MKR #killerblondes the only way these girls are staying is if they blow every bloke in the room. So they're still in with a shot." sexism
183 "I was so hoping the girls were going to pull something out. And they did, a breast. Slightly unexpected. #MKR" 
184 "#mkr nikki has hot teeth" sexism
185 "Are you kidding me? These girls on #MKR didn't cook their own tomatoes or peppers?!?" 
186 "Just want to slap the stupid out of these bimbos!!! #mkr" sexism
187 "7% of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert. #KillerBlondes #MKR" sexism
188 "Colin was pretty nice to the girls. Do you think he's giving them the dick? #MKR" sexism
189 "RT @lukeyook: If they think that dessert is refined and beautiful, now wonder they think they are pretty. #MKR" sexism
190 "FFS a can opener is too technical for the skanky hoes #mkr" sexism
191 "These girls are fucktards!! #MKR" sexism
192 "RT @finicalgal: Nicki explains the complexities of catwalk modelling: ""You have to place one foot in front of the other"".
#MKR" sexism
193 "RT @trinnybopper: ""We want to stay in this competition because we haven't finished telling everyone how pretty we are"" #mkr" 
194 "#killerblondes ?? Have the producers lost the plot or have my eyes failed? In what universe are they even remotely hot in?? #MKR" sexism
195 "#mkr #KillerBlondes @mykitchenrules I don't know what's bigger, her forehead or her ass..?" sexism
196 "I apologise on behalf of my generation for Nikki and Katie. We aren't all so vapid. #MKR #NikkiandKatie" sexism
197 "When I think lemon tart, I think tart lemon. Yes Colin, I see what you did there. #MKR" sexism
198 "Tarts for tarts ;) #mkr #mykitchenrules" 
199 "#mkr The only thing these promo girls are going be able to sell after this episode will be black hair dye #painfulmorons not #killerblondes" 
200 "I don't think any of those 3 dishes had sas they were ugly !! Just like the girls !!!  #MKR" sexism
201 "So I take it Katie is a plus size model right? #MKR" sexism
202 "RT @missgypsyck: Sassy.. More like trashy #MKR2015 #MKR" sexism
203 "I almost hope someone at the table mocks the #KillerBlondes because their deconstructed lemon tart looks like crap ""just like us"" #MKR" 
204 "#mkr Perhaps if the girls had spent less time looking in &amp; kissing mirrors and more time in preparation &amp; cooking they'd be better off." sexism
205 "#MKR2015 #MKR I don't think these girls can cook. Also pls stop the duck face" sexism
206 "Sassy.. More like trashy #MKR2015 #MKR" sexism
207 "Promo girls?! What do they promo??? Gloves and gumboots? #3outof10 #MKR #MKR2015" 
208 "Refined &amp; pretty? Looks like something a blind kindergarten student chucked on a plate. #MKR" sexism
209 "Hate these blonde bitches already #MKR" sexism
210 "Deconstructed tart by lazy tarts  #MKR" sexism
211 "This desert is a hot mess...like its makers, minus the hot #mkr" 
212 "since when does the hill at the footy count as a catwalk? isnt that what a promo girl is, pimping out jim beam at the footy? #mkr" sexism
213 "These girls say they're butchers, I once worked at a boat hire shop so I must be a ship captain #MKR" sexism
214 "@Shaunnagh just saw your tweet on #mkr!! These bimbos should go!" 
215 "Hope the blonde cows don't make it through! #MKR" 
216 "These two blondes are not skinny enough to be models.  #MKR" 
217 "Lol bitch please... #mkr" sexism
218 "And now for the dish that best represents the girls...... A big deconstructed TART  #MKR" sexism
219 "I didn't know they were models #MKR" 
220 "Its not the only thing she's done a lot of I'm guessing  #mkr" sexism
221 "RT @exposerealitytv: The ""promo girls"" should be on cigarette packets smiling then everyone would quit #mkr" sexism
222 "#mkr pretty sure that's how all the chicks walk at Mt Druitt Westpoint" sexism
223 "Really bitch really? Get on the runway and back in the kitchen #MKR2015 #MKR" 
224 "RT @Craigles60Craig: So do you think pink undie skank meth teeth has ever cooked anything before? #mkr" 
225 "Zebra undies #MKR chic in pink dress" sexism
226 "RT @HajiIshak1: RT @deaannnaa_:Katie and Nikki are frkn annoying stfu #MKR you're not even hot lol stop
 RT:@.vid.http://t.co/cRzO2P219y" 
227 "Oh my lord... #blondemomentforthe #KillerBlondes @mykitchenrules #MKR" sexism
228 "When her hands get sore, she finds another way to get the job done... #MKR" sexism
229 "these two take dumb blonde to a a new level #MKR #MKR2015" sexism
230 "RT @PatriceChienne: Everything is deconstructed. They're no good at erections then? #MKR" sexism
231 "Yes, you put in the wrong way. Cue dumb blonde jokes. #MKR" sexism
232 "OMG I just knew they were dumb!!! No common sense or brains #MKR" 
233 "Will this tart be the deconstructing of the #sassy girls? @MKR_Official #MKR @TVWEEKmag" sexism
234 "Hahahahaha blonde moment! #mkr" 
235 "That kitchen looks like they've re-enacted '2 Girls, 1 Cup'.

#MKR" sexism
236 "WHAT A DUMB BITCH #MKR" 
237 "Jesus how dumb can you get #mkr" sexism
238 "Katie &amp; Nikki's next job will be playing ""people who stuff up simple tasks"" on Infomercials #MKR" sexism
239 "There just horrible #lemontarts #MKR" sexism
240 "RT @prprau: #MKR Tart. Lol." 
241 "RT @mykitchenrules: Come on #Barbie, let's go party! #KillerBlondes #MKR" 
242 "@EloisePeace haha and that is all they are good at #mkr" sexism
243 "These girls need to go. Their vanity is making me ill. Very unattractive #mkr" sexism
244 "RT @LisaStanbridge: Nikki's pouting is annoying me. I'm ready to wipe it off and kick her off the show! #MKR" 
245 "RT @PatriceChienne: Deconstructed lemon tart, because we're too bloody lazy and incompetent to do it properly? #MKR" sexism
246 "#MKR Tart. Lol." sexism
247 "#meatgirls bamboozled by a can opener and the sorbet churner #promogirls for Danis direct #MKR" 
248 "RT @GohJarrod: Nikki has massive #armpitvaginas #mkr" sexism
249 "RT @danhickey2199: #MKR #killerblondes fat arms, bad teeth and a MASSIVE arse what the hell is that Katie a promo girl/model of?" sexism
250 "Everything is deconstructed. They're no good at erections then? #MKR" sexism
251 "More egos and arrogance than that pink room can handle in #MKR tonight." sexism
252 "I carnt  see  the  pretty..... I think they quite ugly  ... promo making out they'll go    think it will be tony and lynne   #MKR" 
253 "RT @SeaEph: Time to fuck up the tarts 

#MKR" sexism
254 "Nikki has massive #armpitvaginas #mkr" 
255 "Drasco u are not a chef just a wanka! One day your misses will ask her self what the fuck am i doing with this dick? #mkr" sexism
256 """Crumble, curd and cream"" - a description of the girls' dessert but also their reaction to Collin's inevitable scathing review.
#MKR" sexism
257 "Over the duck lips #mkr" sexism
258 "That Emma chick from #MKR is a total #BumnyBoiler" sexism
259 "LoL - sausage, cock and end it with a tart! - best suited theme for these two #MKR" sexism
260 "Better try harder blondes
#MKR" sexism
261 "RT @Gyutoki: Oh Katie and Nikki, just because you're both (bottle) blondes that doesn't automatically make you pretty. #MKR #MKR2015" sexism
262 "I think Drasco just offered Colin an old fashioned wristy  #MKR" 
263 "#mkr the only thing funnier than an upside down ice cream maker insert?  When my brother's ex wife admitted to burning water." sexism
264 "Girls claiming they're hot generally have an overinflated view of themselves! #mkr" 
265 "These girls are either hand or feet models #MKR" 
266 "Katie is all sASS   #MKR" 
267 "Big difference between Sassy and Trashy. Sorry girls, you couldn't even work a can opener. @mykitchenrules #mkr #mykitchenrules" 
268 "Already sick of hearing ""pretty"" #MKR #MKR2015" sexism
269 "These two need to be in the dictionary under ""Gen Y"" #mkr" 
270 "Katie's eyebrows are still terrible BTW #MKR #MKR2015" 
271 "Oh Katie and Nikki, just because you're both (bottle) blondes that doesn't automatically make you pretty. #MKR #MKR2015" sexism
272 "Who told these fucking girls they were hot #mkr #cuntofahead" sexism
273 "RT @PoshLopez: I wonder which of the blonde molls screwed Colin to get that score? Probably both. #mkr" sexism
274 "So Kat got a new decent hair cut then #MKR" 
275 "RT @GlobeAlone: I was sure they'd roll Lynn out like Violet Beauregarde #mkr http://t.co/CE3ohCaWrK" sexism
276 "RT @EmilyyLam: The highest score in history better be not be the blondes or Kat. #MKR #MKR2015" sexism
277 "Tonight's #MKR confirms the casting people trawl the dark depths of the seriously delusional, the supremely misguided &amp; plain rotten cooks." 
278 "@colinfassnidge you've lost yr credibility- 7 for that junk main? Marking models soft after acting tough so long? Poor show #MKR #sellingout" sexism
279 "@lilbeastunleash cos that's all they suck to get their jobs #MKR" sexism
280 "RT @FakeToniaTodman: Drasko takes a peek out of the closet then Bianca pushes him back in. #MKR" 
281 "@ange_wilson @henryivpartii I mean otherwise we would be on #mkr or the like fapping on about how sassily fantabulous we are #simplygorge" sexism
282 "#mkr why do all these people WANT to cook for a living? Don't they realise it's another chore, just more housework? It's fun once or twice &gt;" sexism
283 "@IrinaLV143 Everybody get a little greasy on #mkr" sexism
284 "Dumb blondes with pretty faces? You're definitely right on one of those statements... Guess which one...  #MKR" sexism
285 "RT @PeteHattam: According to Holly from Geordie Shore, ""Sassy - halfway between slut and classy"" #MKR #MKR2015" sexism
286 "@mykitchenrules Steve. Drasko is the male equivalent of those faux models wannabe... #MKR" sexism
287 "Oh look get the vacuum there's crumbs on that plate that need sucking up... Hey promo girls that's part of your job description.. #MKR" sexism
288 "RT @missclarolyn: You didn't give me a deconstructed lemon tart, but have a 7 anyway, for the item that wasn't on the menu #MKR" 
289 "Look mum.. Left right left right.. I'm a model.. No sweetie you're a promo girl... Here's your bikini go sell some shots! #MKR" sexism
290 "RT @FakeToniaTodman: Another fucking instant restaurant round? Fuck. #MKR" 
291 "Promo girl ""Katie"" calls her stuff ""spajacock"" and ""mascaronie"" ... Never cooked before. Why has @channel7 even picked them? #mkr" sexism
292 "According to Holly from Geordie Shore, ""Sassy - halfway between slut and classy"" #MKR #MKR2015" sexism
293 "Cant believe the blonde bimboz made it through.That sausage looked like feces #MKR" 
294 "This Colin guy is a tool... how rigged is the scoring?!! 7's for main and dessert?? How ridiculous based on past scores. #MKR" sexism
295 "of course they keep the girls hat cause drama could see that coming a mile off #MKR" sexism
296 "Colin likes moist thighs.. Preferably of the promo type... #MKR" 
297 "These girls really put the ASS in sass #mkr" sexism
298 "Colin says the meat in the thigh was moist &amp; tender ??? Are you talking about the main dish or Nicki's thighs ? #MKR" sexism
299 "A 3 . . . suck on that whores #MKR" 
300 "You in the red dress . . . No, just no! ANd you in the pink si not much better. #MKR" sexism
301 "Still moist and juicy... Let's take a selfie.. #MKR" sexism
302 "#mkr Katie &amp; Nikki are atrocities, but Kat &amp; Andre would be the ones leaving if they had scored the promoskanks fairly. Kat has no dignity." sexism
303 "Damn Kat &amp; Andre sneak through, would much rather Katie &amp; Nikki had gotten through #mkr #damnukat" sexism
304 "RT @syazlicious: Best describes Kat and Andre #mkr http://t.co/Qaa6BWi4PM" sexism
305 "How do you sleep at night, Kat? You. Cunt. #MKR #mkr2015" sexism
306 "Kat may be a bitch but let's be honest, the blondes weren't too far behind #mkr" sexism
307 "#mkr hey Kat. ure a c$#t." sexism
308 "Seriously Nikki. Keep your arms down to hide the bingo wings and back flab. EEEE #mkr2015 #mkr  #mykitchenrules" sexism
309 "Stop smirking you vile bitch #mkr" sexism
310 "Omfg ""taste and swallow"". Quote. Of. The. Year. #mkr2015 #mkr #mykitchenrules" sexism
311 "I'm annoyed to have missed this live. Need some bitchy. #mkr2015 #mykitchenrules #mkr" sexism
312 "#MKR ""If I could score them a zero then I would because I'm a super slut"". #cheats #irritate #ratingsbonanza #uglycow http://t.co/vJv8DCRqcQ" sexism
313 "*cough* slut *cough #MKR" 
314 "Fuck off Kat! Douchebag. #MKR #bitchy" 
315 "#MKR #MKRAUS This will be my face when your nasally, bogan head is banished from my TV! #superbogan #cheats #ihateyou http://t.co/2PNnMR0r5f" 
316 "Neither girls can cook to save themselves, Nikki just wants her face on camera, 15 minutes of fame #mkr" 
317 "Go fuck yourself Kat, stupid slut #MKR #nofucksgiven" sexism
318 "BULLSHIT! Kat &amp; Andre you are deadset CUNTS! #MKR" sexism
319 "Catching up on #mkr, disgraceful behaviour from Kat and Andre. Strategic scoring won't save them forever." sexism
320 "STFU KAT YA BITCH! #MKR" sexism
321 "RT @Itsjust55496420: Annie looks like a mouse #mkr" sexism
322 "I swear to fuckin god kat and Andre are the worst ever contestants, kat is such a little bitch a 1 is so unfair #mkr" 
323 "RT @Itsjust55496420: Go hot girls!!! #mkr" sexism
324 "Jeans were a bit tight tonight Andre ??? #mkr @mykitchenrules #mkr2015" sexism
325 "Wtf Kat and Andre are cheaters! THAT IS SO UNFAIR. THEY CANNOT GIVE SOMEONE 1. THEY SHOULD BE GONE. #mkr #katandandre #byebye #bitches" sexism
326 "Yup there still hot blondes #mkr" 
327 "The major coincidence in the score that Kat &amp; Andre gave is ...that Kat recently scored 1 on her home IQ test. #mkr" sexism
328 "Karma will fuck you in the ass and cum all over back Kat #MKR" sexism
329 "Stick it up em Kat, you're the sort of bitch that really makes the show #MKR" sexism
330 "Kat you are a fucking cunt rash, a deadset fucking thundercunt rash #MKR" sexism
331 "RT @FakeToniaTodman: If Kat stays, we can watch her descent into meth induced insanity. #mkr" sexism
332 "I hope these blonde girls make it thru, not great cooks but they aren't as judgemental as that WA lady #MKR" 
333 "In Australia, we have always had tall poppy syndrome. Since when did sabotage and bitchy behaviour get you on national TV??  #MKR #mkr2015" 
334 "Ahh Manu well said! Just cook good food and you'll be OK. Simples! Back in ya box bitch Kat #MKR" 
335 "Katie &amp; Nikki going home? Now who will they have to constantly tell how pretty they think they are? #MKR" sexism
336 """We're still two young, hot blondes""... well you're young...#MKR" sexism
337 "Cat you're an ugly and mean bitch! You miss can go fuck yourself! #mkr" sexism
338 "Manu - you're beautiful #mkr" sexism
339 "Annie is really excited about eating the carrots cause they match her hair purfectly #ginga #mkr" sexism
340 "Kat calls it strategic, I call it being a biatch! #mkr http://t.co/zVCx6kVAIV" sexism
341 "Following Kat &amp; Andre i would love Annie &amp; Lloyd to piss off they are almost as bad. Miss ray of sunshine is as fake as her hair colour #MKR" sexism
342 "#CuntAndAndre #CuntAndAndre #CuntAndAndre #MKR biggest FLOGS the show has ever had on it. EVER!! #CANTCOOK  #FUCKOFF #KatAndAndre" sexism
343 "The blondes will get through cause they are young and can suck... Hard! #mkr" 
344 "@DustyPee @MrTimothyKaye I think the hashtag got some traction. #cuntandandre #mkr" sexism
345 "Next week n New Idea, Lloyd and Drasko's secret sex romp #MKR" sexism
346 "That judge whatever his name needs to stop the fake tan. He is literally ORANGE #mkr" 
347 "OMG the sluts are going to get through #mkr" 
348 "#MKR Lloyd likes some thick juicy pork, poor Annie" sexism
349 "RT @DustyPee: If #cuntandandre make it through, I'll... I don't know what I will do. #mkr" 
350 "I have a stupid man crush on Lloyd and I can't help it. #mkr2015 #mkr #sexylloydmkr" 
351 "RT @syazlicious: The truth behind another elimination round...to get rid of #cuntandandre #mkr" sexism
352 "Borrowed time #CuntAndArsehole cant wait for you to get blown away by the decent teams. #FirstElimination #BeatItDogs #MKR #KatAndAndre" sexism
353 "Kat looks like medusa tbh + that ugly personality to top it off . #mkr" 
354 "RT @jgray0711: Get Gordon Ramsay on there he'll sort #cuntandandre out
#mkr" 
355 "@wedancedonce #mkr purposely pick slightly unattractive girls who're besotted with themselves. Makes good television lol" sexism
356 "RT @k_yah: Don't you dare put in the water works Kat!! You're evil!! #cuntandandre #MKR" 
357 "Why does kat always need to make big eyes? You freak me out witch #mkr" 
